inst_id	|	inst_code	|	aka	|	inst_name	|	country	|	address	|	phone	|	fax	|	record_source	|	home_url	|	url_rule	|	comments	|	collection_type	|	qualifier_type	|	unique_name
1392	|	UNOAL	|	      	|	University of Northern Alabama	|	U.S.A	|	Tuscalusa, Alabama	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UNOAL
1393	|	UNOVC	|	      	|	University of New Orleans	|	U.S.A	|	Department of Biological Sciences, New Orleans, Lousiania	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UNOVC
1394	|	UNR	|	      	|	University of Nevada, Museum of Biology	|	USA	|	Reno, Nevada	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UNR<USA-NV>
1395	|	UOMZ	|	      	|	University of Oklahoma, Stovall Museum of Zoology	|	U.S.A	|	Norman, Oklahoma	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UOMZ
1396	|	UPMSI	|		|	Marine Science Institute	|	Philippines	|	University of the Philippines	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	UPMSI
1397	|	URB	|	      	|	Ryukyu University Department of Zoology	|	Japan	|	Nakagusuku, Okinawa	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	URB
1398	|	URM	|	      	|	University of the Ryukyus	|	Japan	|	Nishihara, Okinawa	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	URM<JPN>
1399	|	USA	|		|	University of South Alabama	|	USA	|	Mobile, Alabama	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	USA
1400	|	USBCF	|	      	|	U. S. Bureau of Commercial Fisheries	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	USBCF
1401	|	USFC	|	      	|	U. S. Fish Commission	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	USFC
1403	|	USP	|	      	|	University of the South Pacific	|	Fiji	|	Institute of Marine Resources, Suva	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	USP<FJI>
1404	|	UT	|	      	|	University of Tennessee	|	USA	|	Department of Zoology, Knoxville, Tennessee	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UT<USA-TN>
1405	|	UTAI	|	      	|	Tel Aviv University	|	Israel	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UTAI
1407	|	UUZM	|	      	|	Uppsala University, Zoological Museum	|	Sweden	|	Uppsala	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UUZM
1408	|	UV	|	      	|	Departamento de Biologia de la Universidad del Valle	|	Colombia	|	Cali	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UV<COL>
1409	|	UW	|	Burke Museum, Ichthyology Collections	|	University of Washington Fish Collection	|	USA	|	University of Washington, School of Aquatic and Fishery Science, Seattle, Washington 98195	|		|		|	      	|	http://uwfishcollection.org	|	      	|		|	museum	|	specimen_voucher	|	UW
1410	|	UZA	|	      	|	Unidad de Zoologia Aplicada, Departamento de Ecologia	|	Spain	|	Comunidad de Madrid, Madrid	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	UZA
1411	|	VBCM	|	      	|	Universidad Complutense de Madrid	|	Spain	|	Catedra de Vertebrados, Faculdad de Biologicas, Madrid	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	VBCM
1412	|	VIMS	|	      	|	Virginia Institute of Marine Science	|	U.S.A	|	Gloucester Point, Virginia	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	VIMS
1413	|	VMM	|	      	|	Vanderbilt Marine Museum	|	USA	|	180 Little Neck Road, Centerport, New York	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	VMM
1414	|	VSM	|	      	|	Det Kgl. Norske Videnskabers Selskab Museet	|	Norway	|	Trondheim	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	VSM<NOR>
1415	|	VUW	|	      	|	Victoria University	|	New Zealand	|	Wellington	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	VUW
1417	|	WGRS	|	      	|	Western Ghat Regional Station of the Zoological Survey of India at Calicut	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	WGRS
1418	|	WHOI	|	      	|	Woods Hole Oceanographic Institution	|	U.S.A	|	Woods Hole, Massachusetts	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	WHOI
1419	|	WIAP	|	      	|	Wistar Institute of Anatomy	|	U.S.A	|	Philadelphia, Pennsylvania	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	WIAP
1420	|	WLMH	|	      	|	West Lake Musuem	|	China	|	Hangchow, Chekiang	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	WLMH
1421	|	XFCFC	|	      	|	Xiamen Fisheries College	|	China	|	Fujian	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	XFCFC
1422	|	YCM	|	      	|	Yokosuka City Museum	|	Japan	|	Yokosuka, Kanagawa	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	YCM
1426	|	ZIAN	|	      	|	Zoological Institute, Academy of Sciences	|	      	|	Leningrad	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZIAN
1427	|	ZICUP	|	      	|	Zoological Institute Charles University	|	Czechoslovakia	|	Prague	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZICUP
1430	|	ZIKU	|		|	Zoological Institute, Kochi University	|	Japan	|	Kochi University, Kochi	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	ZIKU
1433	|	ZLSYU	|	      	|	Zoological Laboratory	|	China	|	Sun Yatsen University	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZLSYU
1435	|	ZMAU	|	      	|	Zoological Museum Andhra University	|	India	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMAU
1437	|	ZMC	|	      	|	Deptment of Biology, Zunyi Medical College	|	China	|	Guizhou	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMC
1438	|	ZMFMIB	|	      	|	Zoologial Museum Fan Memorial Institute of Biology	|	China	|	Tsing Hua University, Peiping	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMFMIB
1440	|	ZMMGU	|	      	|	Zoological Museum	|	Russia	|	Moscow State University, Moscow	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMMGU
1442	|	ZMT	|	      	|	Georgian State Museum, Zoological Section	|	Georgia	|	Tbilisi	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMT<GEO>
1443	|	ZMUA	|	      	|	Zooligal Museum, University of Amoy	|	China	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMUA<CHN>
1444	|	ZMUAS	|	      	|	Zoological Museum Ukrainian Academy of Sciences	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMUAS
1447	|	ZMUH	|	      	|	Zoological Museum, University of Hanoi	|	Viet Nam	|	19 Le Thanh Tong, Ha Noi	|	84 (4) 0913 544 615 	|	      	|	      	|	http://coombs.anu.edu.au/~vern/hnu-zoo-mus.html	|	      	|	      	|	museum	|	specimen_voucher	|	ZMUH<VNM>
1448	|	ZMUI	|	      	|	Zoological Museum, University of Istanbul	|	Turkey	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMUI
1449	|	ZMUL	|	      	|	Universitetets Lund, Zoologiska Museet	|	Sweden	|	Lund	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMUL
1450	|	ZMUO	|	      	|	Universitetets I Oslo, Zoologisk Museum	|	Norway	|	Postboks 1172 Blindern, 0318 Oslo	|	22 85 50 50	|	      	|	      	|	http://www.nhm.uio.no/zoomus/generell.html	|	      	|	      	|	museum	|	specimen_voucher	|	ZMUO<NOR>
1451	|	ZMUT	|	      	|	University of Tokyo, Department of Zoology	|	Japan	|	University Museum, Tokyo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMUT
1452	|	ZMUU	|	      	|	Uppsala Universitet, Zoologiska Museet	|	Sweden	|	Uppsala	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZMUU
1455	|	ZSM/CMK	|	      	|	Zoologische Museum Staatssammlung	|	Germany	|	Mnchen/Collection of Maurice Kottela	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZSM/CMK
1456	|	ZSM/LIPI	|	      	|	Zoologische Museum Staatssammlung	|	Germany	|	Mnchen 	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZSM/LIPI
1458	|	ZSP	|	      	|	Zoological Survey of Pakistan	|	Pakistan	|	Hotel Nazli, Nishtar Road, Karachi 3	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZSP<PAK>
1459	|	ZUAB	|	      	|	Zoologia--Universidad Autonoma de Barcelona	|	Spain	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZUAB
1461	|	ZUFES	|	      	|	Universidad Federal do Espirito Santo	|	Brazil	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZUFES
1462	|	ZUMT	|	      	|	Department of Zoology, University Museum	|	Japan	|	University of Tokyo, Tokyo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZUMT
1463	|	ZVC	|	      	|	Depto. de Zoologia Vertebrados de la Facultad de Humanidades y Ciencias	|	Uruguay	|	Montevideo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZVC
1464	|	ZZSZ	|	      	|	Zoology Department, Faculty of Natural Sciences, University of Zagreb	|	Croatia	|	Priodoslovno-matematicki fakultet, Sveucilista u Zagrebu), Zagreb	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ZZSZ
1466	|	ACAP	|	      	|	Aquaculture Center of Aomori Prefecture	|	Japan	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ACAP
1469	|	AHF	|	      	|	Allan Hancock Foundation, University of Southern California	|	U.S.A	|	California	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AHF
1470	|	CUBK	|	      	|	Department of Biology, Chonbuk National University	|	Korea	|	      	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CUBK
1473	|	AAPI	|	      	|	Plant Industry Laboratory	|	Canada	|	Alberta, Edmonton, Alberta Agriculture	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AAPI
1475	|	ABS	|	      	|	Archbold Biological Station	|	USA	|	Florida, Lake Placid	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ABS<USA>
1477	|	ACBC	|	      	|	Agriculture Canada Research Station	|	Canada	|	British Columbia, Summerland	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ACBC
1478	|	ACBV	|	      	|	Agriculture Canada Research Station, The Aphids of British Columbia	|	Canada	|	 British Columbia, Vancouver	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ACBV
1479	|	ACE	|	      	|	Arachnid Collection of Egypt	|	Egypt	|	Cairo, Egyptian Natural History Mumseum	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ACE<EGY>
1481	|	ACNB	|	      	|	Agriculture Canada Research Station	|	Canada	|	New Brunswick, Fredericton	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ACNB
1482	|	ACNS	|	      	|	Agriculture Canada Nova Scotia	|	Canada	|	Nova Scotia, Kentville	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ACNS
1485	|	ADSH	|	      	|	Arachnology Division	|	India	|	Kerala, Cochin, Sacred Heart College	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ADSH
1486	|	AEIC	|	      	|	American Entomological Institute	|	USA	|	Florida, Gainesville	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AEIC
1487	|	AESB	|	      	|	Agriculture Experiment Station	|	India	|	Bogar	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AESB
1490	|	AFSDU	|	      	|	Suleyman Demirel University, Agricultural Faculty	|	Turkey	|	Isparta	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AFSDU
1491	|	AGRL	|	      	|	Lethbridge Research Station	|	Canada	|	Alberta, Lethbridge	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AGRL
1492	|	AHBC	|	      	|	Dixie College	|	USA	|	Utah, St. George	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AHBC
1497	|	AMCL	|	      	|	Macapa, Museu Territorial de Historia Natural "Angelo Moreira da Costa Lima"	|	Brazil	|	Amapa	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AMCL
1498	|	AMGS	|	      	|	Albany Museum	|	South Africa	|	Cape Province, Grahamstown	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AMGS
1502	|	AMNZ	|	      	|	Auckland Institute and Museum	|	New Zealand	|	Auckland	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AMNZ
1503	|	AMS	|	      	|	Australian Museum	|	Australia	|	 6 College Street, New South Wales, Sydney 2010 	|	(+612) 9320 6000	|	      	|	      	|	http://www.amonline.net.au/	|	      	|	      	|	museum	|	specimen_voucher	|	AMS
1504	|	AMUZ	|	      	|	Aligarh Muslim University	|	India	|	Uttar Pradesh, Aligarh	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AMUZ
1505	|	ANCB	|		|	Museo Nacional de Historia Natural, La Paz	|	Bolivia	|	La Paz	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	ANCB
1507	|	ANFM	|	      	|	Associazione Naturalisti Forlivesi Pro Museo	|	Italy	|	Forli	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ANFM
1508	|	ANIC	|		|	Australian National Insect Collection	|	Australia	|	Australian Capital Territory, Canberra City, CSIRO	|		|		|	      	|	http://www.csiro.au/ANIC	|	      	|		|	museum	|	specimen_voucher	|	ANIC
1509	|	ANLW	|	      	|	Amt Der Niederosterreichischen Landsregierung	|	Austria	|	Wien	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ANLW
1512	|	APEI	|	      	|	Agriculture Canada Research Station	|	Canada	|	Prince Edward Island, Charlottetown	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	APEI
1513	|	APHI	|	      	|	U.S. Department of Agriculture, Animal and Plant Health Inspection Service	|	USA	|	Maryland, Baltimore	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	APHI
1514	|	APMJ	|	      	|	Aomori Prefectural Museum	|	Japan	|	Aomori Prefecture	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	APMJ
1516	|	ARCM	|	      	|	Atlantic Reference Centre	|	Canada	|	New Brunswick, St.Andrews, Huntsman Marine Science Centre	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ARCM
1517	|	ARER	|	      	|	Associazione Romana di Entomologia	|	Italy	|	Roma	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ARER
1521	|	ASAY	|	      	|	Academy of Science of Armenia	|	Armenia	|	Yerevan	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ASAY
1523	|	ASCU	|	      	|	Agricultural Scientific Collections Unit	|	Australia	|	New South Wales, Orange, Orange Agricultural Institute	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ASCU
1525	|	ASUA	|	      	|	Ain Shams University	|	Egypt	|	Cairo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ASUA
1526	|	ASUT	|	      	|	Frank M. Hasbrouck Insect Collection	|	USA	|	Arizona, Tempe, Arizona State University	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	ASUT
1527	|	AUBL	|		|	Museum of Natural History, Beirut	|	Lebanon	|	Beirut, University of Beirut	|		|		|	      	|		|	      	|		|	museum	|	specimen_voucher	|	AUBL
1528	|	AUCE	|	      	|	El Azhar University	|	Egypt	|	Cairo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AUCE
1529	|	AUEM	|	      	|	Auburn University Entomological Museum	|	USA	|	Alabama, Auburn	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	AUEM
1530	|	BAAC	|	      	|	Musee de Beni Abbes	|	Algeria	|	Beni Abbes	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BAAC
1532	|	BBNP	|	      	|	Big Bend National Park	|	USA	|	Texas, Big Bend	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BBNP
1536	|	BCUZ	|	      	|	Basque Country University, Laboratory of Zoology	|	Spain	|	Leioa	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BCUZ
1537	|	BCWL	|	      	|	Biological Control of Weeds Laboratory-Europe	|	Italy	|	Roma	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BCWL
1538	|	BDLU	|	      	|	Laurentian University	|	Canada	|	Ontario, Sudbury	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BDLU
1539	|	BDMU	|	      	|	McMaster University	|	Canada	|	Ontario, Hamilton	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BDMU
1540	|	BDUC	|	      	|	University of Calgary	|	Canada	|	Alberta, Calgary	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BDUC
1541	|	BDUW	|	      	|	University of Waterloo	|	Canada	|	Ontario, Waterloo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BDUW
1543	|	BDWC	|	      	|	University of Windsor	|	Canada	|	Ontario, Windsor	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BDWC
1544	|	BDWL	|	      	|	Wilfred Laurier University	|	Canada	|	Ontario, Waterloo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BDWL
1545	|	BENH	|	      	|	British Entomological and Natural History Society	|	United Kingdom	|	London	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BENH
1546	|	BESM	|	      	|	Bvumbwe Experiment Station	|	Malawi	|	Limbe	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BESM
1547	|	BFBI	|	      	|	Biologisches Forschunsstation Burgenland	|	Austria	|	Illmitz	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BFBI
1548	|	BFIC	|	      	|	Museum National d'Histoire Naturelle	|	France	|	Brunoy	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BFIC
1549	|	BFUS	|	      	|	University of Sofia, Biology Faculty	|	Bulgaria	|	Sofia	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BFUS
1553	|	BIDA	|	      	|	Boise State University	|	USA	|	Boise, Idaho	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BIDA
1557	|	BLCU	|	      	|	Bee Biology and Systematics Laboratory	|	USA	|	Utah, Logan, Utah State University	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BLCU
1558	|	BLGA	|	      	|	Burgenlandisches Landesmuseum	|	Austria	|	Eisenstadt	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BLGA
1560	|	BMBN	|	      	|	Booth Museum of Natural History	|	United Kingdon	|	194 Dyke Road, Brighton, East Sussex BN1 5AA	|	      	|	      	|	      	|	http://www.booth.virtualmuseum.info/	|	      	|	      	|	museum	|	specimen_voucher	|	BMBN<UK>
1562	|	BMGB	|	      	|	Barbados Museum and Historical Society	|	Barbados	|	St. Ann's Garrison	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BMGB
1563	|	BMHP	|	      	|	Bermuda Department of Agriculture and Fisheries	|	Bermuda	|	Hamilton	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BMHP
1565	|	BMKB	|		|	Brunei Museum	|	Brunei	|	Jalan Kota Batu, Bandar Seri Begawan BD1510	|	2244545	|		|	      	|	http://www.museums.gov.bn/bangunan.htm	|	      	|	= BM<BRN>	|	museum	|	specimen_voucher	|	BMKB
1567	|	BMSA	|	      	|	National Museum Bloemfontein	|	South Africa	|	Bloemfontein	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BMSA
1568	|	BMSC	|	      	|	Buffalo Museum of Science	|	USA	|	New York, Buffalo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BMSC
1569	|	BMUK	|	      	|	Bolton Museum	|	United Kingdom	|	Bolton	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BMUK
1570	|	BNHD	|	      	|	Bengal Natural History Museum	|	India	|	West Bengal, Darjeeling	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BNHD
1571	|	BNHS	|	      	|	Bombay Natural History Society	|	India	|	Maharashtra, Bombay	|	      	|	      	|	      	|	http://www.bnhs.org/	|	      	|	      	|	museum	|	specimen_voucher	|	BNHS
1572	|	BORN	|	      	|	Institute for Tropical Biology and Conservation, Borneensis	|	Malaysia	|	Sabah, Kota Kinabalu	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BORN
1575	|	BSNH	|	      	|	Boston Society of Natural History	|	USA	|	Massachusetts, Boston	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BSNH
1577	|	BURP	|	      	|	Burpee Museum of Natural History	|	USA	|	Illinois, Rockford	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	BURP
1578	|	BYU	|	      	|	Monte L. Bean Life Science Museum	|	USA	|	Utah, Provo, Brigham Young University	|	      	|	      	|	      	|	http://mlbean.byu.edu/	|	      	|	      	|	museum	|	specimen_voucher	|	BYU
1579	|	CAES	|	      	|	Connecticut Agriculture Experiment Station	|	USA	|	Connecticut, New Haven	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CAES
1581	|	CARD	|	      	|	Caribbean Agricultural Research Institute	|	Barbados	|	St. Thomas	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CARD
1582	|	CARE	|	      	|	Caribbean Epidemiology Centre	|	Trinidad and Tobago	|	Port of Spain	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CARE
1583	|	CARS	|	      	|	University of Surinam, Center for Agricultural Research	|	Surinam	|	Paramaribo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CARS
1586	|	CASM	|	      	|	Chicago Academy of Sciences, Museum of Natural History	|	USA	|	Illinois, Chicago	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CASM
1587	|	CAU	|	      	|	China Agricultural University	|	China	|	Beijing	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CAU
1590	|	CBU	|	      	|	Cape Breton University	|	Canada	|	Nova Scotia, Sydney	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CBU<CAN>
1591	|	CCAC	|	      	|	Universidade Federal do Ceara, Centro Ciencias Agrarias	|	Brazil	|	Ceara, Fortaleza	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CCAC<BRA>
1593	|	CCCC	|	      	|	Carthage College	|	USA	|	Wisconsin, Kenosha	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CCCC
1594	|	CCCZ	|	      	|	University of Malawi	|	Malawi	|	Zomba	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CCCZ
1595	|	CCFL	|	      	|	Chad National Museum	|	Chad	|	Fort Lamy	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CCFL
1596	|	CCNP	|	      	|	Carlsbad, Carlsbad Caverns National Park	|	USA	|	New Mexico	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CCNP
1598	|	CCUF	|	      	|	Universidade Federal de Alagoas, Centro de Ciencias Biologicas	|	Brazil	|	Alagoas, Maceio	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CCUF
1599	|	CDRS	|	      	|	Invertebrate Collection	|	Ecuador	|	Galapagos Islands, Santa Cruz, Puerto Ayora, Charles Darwin Research Station	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CDRS
1600	|	CEAM	|	      	|	Centro de Entomologica y Acarologia	|	Mexico	|	Montecillo	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CEAM
1601	|	CEEF	|	      	|	Escuela Nacional de Ciencias Forestales	|	Honduras	|	Siguatepeque	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CEEF
1602	|	CEET	|	      	|	El Colegio de la Frontera Sur, Colleccion de Insectos Asociados a Plantas Cultivadas en la Frontera Sur	|	Mexico	|	Chiapas, Tapachula	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CEET
1603	|	CELM	|	      	|	Coleccion Entomologica "Luis Maria Murillo"	|	Colombia	|	Bogot&aacute;	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CELM
1604	|	CENA	|	      	|	Centro Nacional de Proteccion Vegetal	|	Nicaragua	|	Managua	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CENA<NIC>
1605	|	CENG	|	      	|	Centro Experimental de Nueva Guinea	|	Nicaragua	|	Nueva Guinea, Zelaya	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CENG
1606	|	CEST	|	      	|	Central Experiment Station	|	Trinidad and Tobago	|	Centeno	|	      	|	      	|	      	|	      	|	      	|	      	|	museum	|	specimen_voucher	|	CEST
